matrl_id,host_nums,type,month
947,419.0,07,201806
493,2.0,A7,201806
864,2.0,A7,201806
323,68.0,10,201806
205,68.0,34,201806
649,68.0,34,201806
1051,5.0,32,201806
836,23.0,33,201806
679,17.0,33,201806
971,10.0,35,201806
613,2.0,09,201806
26,5934.0,02,201904
806,2031.0,02,201904
417,1182.0,02,201904
1035,2330.0,05,201904
606,1734.0,05,201904
159,11448.0,01,201904
1186,16305.0,01,201904
26,10726.0,03,201904
843,45768.0,04,201904
958,47.0,01,201904
239,206.0,07,201904
927,98.0,33,201904
1117,21.0,33,201904
151,20.0,33,201904
430,60.0,10,201904
776,31.0,10,201904
585,8.0,07,201904
829,1.0,36,201904
437,269.0,08,201808
1126,20266.0,01,201808
63,20638.0,01,201808
104,10472.0,03,201808
813,45.0,33,201808
340,421.0,07,201808
42,69.0,10,201808
205,69.0,10,201808
1034,43.0,07,201808
194,7.0,32,201808
487,15.0,07,201808
1141,19.0,07,201808
1143,1.0,35,201808
61,3.0,36,201808
642,9.0,33,201808
491,2.0,07,201808
928,4.0,07,201808
483,9938.0,03,201804
509,416.0,07,201804
45,416.0,07,201804
180,69.0,02,201804
878,45.0,33,201804
64,48.0,33,201804
369,56.0,10,201804
896,59.0,33,201804
202,15.0,33,201804
300,12.0,35,201804
727,0.0,A7,201804
436,15.0,33,201804
186,23.0,01,201804
559,16.0,33,201804
549,11.0,32,201804
573,2.0,09,201804
717,0.0,02,201804
493,6700.0,02,201812
1053,6161.0,02,201812
57,43191.0,04,201812
864,72.0,34,201812
323,411.0,07,201812
409,298.0,07,201812
999,280.0,07,201812
144,416.0,07,201812
483,418.0,07,201812
458,244.0,07,201812
211,53.0,05,201812
1069,121.0,07,201812
991,25.0,35,201812
711,25.0,35,201812
999,16.0,35,201812
225,70.0,10,201812
409,39.0,10,201812
1153,3.0,04,201812
979,17.0,33,201812
618,23.0,33,201812
256,2.0,09,201812
947,0.0,04,201812
6,1.0,33,201812
949,5806.0,02,201801
750,3274.0,05,201801
770,3101.0,05,201801
624,7.0,05,201801
1173,121.0,05,201801
618,3278.0,01,201801
176,7063.0,01,201801
236,9493.0,03,201801
218,8732.0,03,201801
519,1417.0,03,201801
1083,4082.0,01,201801
603,843.0,03,201801
18,316.0,07,201801
145,281.0,07,201801
951,34.0,33,201801
973,40.0,33,201801
63,40.0,33,201801
699,56.0,34,201801
696,17.0,35,201801
890,0.0,33,201801
170,45.0,07,201801
454,35.0,07,201801
649,3.0,19,201801
148,3.0,19,201801
83,0.0,32,201801
122,1.0,36,201801
646,1.0,36,201801
269,2.0,09,201801
570,2.0,09,201801
1165,5855.0,02,201904
809,250.0,02,201904
1195,7347.0,01,201904
217,6717.0,01,201904
62,9160.0,03,201904
493,1416.0,04,201904
968,430.0,07,201904
127,430.0,07,201904
334,430.0,07,201904
256,65.0,10,201904
753,60.0,10,201904
303,65.0,10,201904
380,321.0,08,201904
45,29.0,35,201904
427,3.0,19,201904
1045,2.0,08,201904
1132,21.0,08,201904
561,2.0,09,201904
927,2.0,09,201904
864,10.0,18,201904
1117,1.0,04,201904
354,947.0,05,201906
575,22560.0,01,201906
112,9936.0,01,201906
464,3669.0,03,201906
901,45184.0,04,201906
596,86.0,33,201906
1177,97.0,33,201906
774,63.0,33,201906
765,141.0,07,201906
567,14.0,32,201906
818,14.0,32,201906
225,7.0,A7,201906
283,4.0,02,201906
755,292.0,08,201806
826,3655.0,05,201806
130,552.0,05,201806
721,8607.0,01,201806
744,5.0,33,201806
830,75.0,33,201806
902,9364.0,03,201806
346,770.0,01,201806
858,971.0,01,201806
333,806.0,01,201806
439,128.0,03,201806
982,22.0,01,201806
778,14.0,33,201806
971,57.0,10,201806
339,68.0,10,201806
244,48.0,10,201806
831,68.0,10,201806
1138,32.0,34,201806
519,68.0,34,201806
1020,10.0,18,201806
1049,29.0,10,201806
383,20.0,10,201806
1062,3.0,19,201806
484,0.0,33,201806
391,8.0,03,201806
269,1.0,05,201806
551,3495.0,05,201810
1052,1053.0,05,201810
7,1716.0,05,201810
961,12232.0,01,201810
429,15104.0,01,201810
618,3523.0,01,201810
1113,20878.0,01,201810
1080,1009.0,01,201810
782,28.0,05,201810
483,83.0,33,201810
724,84.0,08,201810
831,24.0,35,201810
36,70.0,10,201810
42,70.0,10,201810
705,0.0,33,201810
390,1012.0,01,201811
965,759.0,01,201811
980,30.0,33,201811
371,425.0,07,201811
128,26.0,10,201811
941,19.0,33,201811
456,79.0,08,201811
1111,7.0,10,201811
1119,3.0,19,201811
1119,3.0,36,201811
90,6148.0,02,202003
887,2646.0,02,202003
127,5261.0,02,202003
574,4904.0,05,202003
278,7334.0,01,202003
823,8138.0,01,202003
156,8090.0,01,202003
6,23.0,01,202003
1012,100.0,02,202003
582,26.0,35,202003
814,18.0,33,202003
779,105.0,33,202003
649,2.0,09,202003
842,32.0,33,202003
941,3068.0,02,201902
1191,5679.0,01,201902
815,17.0,33,201902
332,47.0,33,201902
178,81.0,33,201902
283,59.0,10,201902
591,5.0,10,201902
864,70.0,10,201902
638,21.0,10,201902
815,301.0,07,201902
561,426.0,07,201902
227,19.0,32,201902
83,2.0,36,201902
755,26.0,35,201902
82,26.0,35,201902
628,16.0,07,201902
938,3.0,35,201902
537,10.0,33,201902
515,5523.0,02,201809
872,2874.0,02,201809
244,18534.0,01,201809
199,9257.0,01,201809
564,71.0,33,201809
17,72.0,33,201809
90,83.0,33,201809
375,30.0,33,201809
400,25.0,33,201809
957,423.0,07,201809
365,375.0,07,201809
156,6.0,10,201809
84,69.0,10,201809
112,32.0,08,201809
558,33.0,07,201809
367,18.0,35,201809
106,24.0,35,201809
558,6.0,33,201809
140,4.0,33,201809
481,2.0,35,201809
920,2.0,09,201809
452,255.0,08,201911
1089,3788.0,05,201911
790,4014.0,05,201911
882,278.0,05,201911
259,18328.0,01,201911
380,22773.0,01,201911
572,2663.0,01,201911
273,7726.0,01,201911
922,146.0,07,201911
1152,101.0,33,201911
711,2.0,09,201911
971,12.0,35,201911
1110,15.0,33,201911
872,4.0,35,201911
1176,4.0,07,201911
957,5.0,36,201911
646,4.0,36,201911
983,5.0,10,201911
1003,11.0,33,201911
1033,3.0,19,201911
961,0.0,A7,201911
122,6035.0,02,201909
846,6921.0,02,201909
451,218.0,05,201909
88,3498.0,05,201909
435,2279.0,01,201909
479,689.0,01,201909
61,12097.0,03,201909
1113,12097.0,03,201909
629,30716.0,04,201909
331,2996.0,01,201909
1045,16.0,33,201909
410,70.0,10,201909
567,70.0,10,201909
323,70.0,10,201909
799,277.0,08,201909
894,25.0,33,201909
1164,103.0,07,201909
1160,12.0,07,201909
1085,65.0,10,201909
937,65.0,07,201909
523,67.0,07,201909
624,11.0,32,201909
269,11.0,32,201909
427,4004.0,05,201808
1033,10472.0,03,201808
1111,289.0,07,201808
887,67.0,10,201808
501,190.0,03,201808
1054,23.0,35,201808
852,17.0,35,201808
26,82.0,33,201808
868,0.0,02,201808
1110,15.0,33,201808
755,3.0,36,201808
243,2748.0,01,202006
409,8018.0,03,202006
1074,3959.0,03,202006
697,26898.0,04,202006
270,107.0,33,202006
927,104.0,33,202006
203,87.0,33,202006
222,28.0,33,202006
721,29.0,33,202006
585,1.0,33,202006
925,1.0,A7,202006
705,0.0,33,202006
553,340.0,08,201907
1081,229.0,08,201907
719,3094.0,05,201907
877,11316.0,01,201907
1152,432.0,07,201907
225,29.0,35,201907
410,29.0,35,201907
612,29.0,35,201907
569,35.0,10,201907
396,149.0,07,201907
628,19.0,07,201907
446,35.0,07,201907
1020,34.0,32,201907
300,18.0,33,201907
94,5.0,33,201907
602,5.0,34,201907
755,8.0,A7,201907
1056,8.0,A7,201907
417,33.0,08,201907
1177,4.0,36,201907
908,0.0,33,201907
820,2547.0,05,201908
878,14053.0,01,201908
1186,16729.0,01,201908
730,1181.0,03,201908
864,356.0,08,201908
787,2671.0,01,201908
62,101.0,33,201908
768,85.0,33,201908
246,386.0,07,201908
761,434.0,07,201908
799,265.0,07,201908
1181,308.0,07,201908
492,34.0,32,201908
567,47.0,33,201908
727,65.0,10,201908
509,88.0,34,201908
222,25.0,33,201908
90,2.0,09,201908
673,6.0,33,201908
1119,5.0,36,201908
308,2.0,36,201908
509,6658.0,02,201810
67,2966.0,05,201810
282,401.0,05,201810
885,10177.0,01,201810
274,2346.0,01,201810
299,1698.0,01,201810
544,2409.0,01,201810
503,1489.0,01,201810
553,350.0,07,201810
144,414.0,07,201810
122,423.0,07,201810
286,270.0,07,201810
757,365.0,07,201810
982,22.0,01,201810
416,68.0,34,201810
927,82.0,33,201810
842,29.0,33,201810
335,19.0,33,201810
1135,26.0,33,201810
339,70.0,10,201810
361,70.0,10,201810
636,94.0,07,201810
303,24.0,35,201810
382,2.0,35,201810
1027,1.0,35,201810
518,14.0,35,201810
363,0.0,07,201810
916,0.0,33,201810
971,3.0,36,201810
1143,1.0,35,201810
464,992.0,02,201812
417,1123.0,02,201812
230,2028.0,05,201812
86,3415.0,05,201812
229,3575.0,05,201812
585,1690.0,01,201812
10,10781.0,03,201812
452,327.0,07,201812
223,75.0,33,201812
410,25.0,35,201812
619,17.0,33,201812
585,6.0,07,201812
276,72.0,34,201812
569,3.0,A7,201812
493,2.0,09,201812
602,2.0,09,201812
582,2.0,09,201812
623,337.0,02,201811
199,262.0,08,201811
575,319.0,08,201811
955,523.0,05,201811
396,10073.0,01,201811
933,7042.0,01,201811
259,15746.0,01,201811
636,10833.0,01,201811
484,7138.0,03,201811
42,10707.0,03,201811
687,28350.0,04,201811
858,971.0,01,201811
1119,69.0,34,201811
36,69.0,34,201811
1152,425.0,07,201811
385,425.0,07,201811
101,88.0,33,201811
82,90.0,33,201811
1023,119.0,07,201811
2,28.0,05,201811
239,56.0,33,201811
851,18.0,07,201811
1013,20.0,33,201811
573,25.0,35,201811
613,25.0,35,201811
327,25.0,35,201811
1094,11.0,05,201811
300,6.0,02,201811
1142,1.0,36,201811
333,3.0,33,201811
1126,329.0,08,201902
754,10452.0,01,201902
619,7495.0,01,201902
363,973.0,01,201902
642,10875.0,03,201902
273,26.0,35,201902
819,26.0,35,201902
850,7256.0,01,201902
920,91.0,33,201902
887,426.0,07,201902
1119,424.0,07,201902
584,416.0,07,201902
256,65.0,10,201902
641,17.0,33,201902
1101,8.0,33,201902
1081,3.0,19,201902
649,1.0,13,201902
269,1.0,05,201902
26,2.0,09,201902
380,21160.0,01,201904
1085,21995.0,01,201904
519,16992.0,01,201904
908,1369.0,01,201904
544,131.0,07,201904
721,102.0,07,201904
722,66.0,07,201904
602,70.0,10,201904
319,20.0,32,201904
584,99.0,33,201904
468,84.0,34,201904
815,3.0,36,201904
31,1.0,35,201904
863,2.0,09,201904
270,2.0,09,201904
26,2.0,09,201904
247,2.0,09,201904
339,6994.0,02,201912
991,6607.0,02,201912
850,123.0,08,201912
638,23507.0,01,201912
437,23819.0,01,201912
182,7791.0,01,201912
1152,12468.0,03,201912
483,12358.0,03,201912
1081,50804.0,04,201912
126,12835.0,04,201912
644,100.0,33,201912
603,843.0,03,201912
599,440.0,07,201912
224,124.0,07,201912
1170,256.0,07,201912
124,86.0,07,201912
238,76.0,02,201912
83,2.0,36,201912
279,298.0,08,201804
871,3277.0,05,201804
639,3207.0,05,201804
182,4129.0,01,201804
42,20092.0,01,201804
752,7137.0,01,201804
894,6937.0,01,201804
414,181.0,01,201804
1151,2.0,01,201804
602,10416.0,04,201804
570,59.0,33,201804
41,52.0,33,201804
45,61.0,33,201804
1177,58.0,33,201804
199,209.0,07,201804
153,143.0,07,201804
52,22.0,35,201804
1085,22.0,35,201804
1111,12.0,35,201804
447,135.0,07,201804
596,32.0,08,201804
112,32.0,08,201804
242,119.0,07,201804
136,60.0,10,201804
409,38.0,10,201804
799,0.0,A7,201804
916,6.0,07,201804
602,6721.0,02,201901
276,6721.0,02,201901
124,801.0,02,201901
88,3069.0,05,201901
1089,3443.0,05,201901
492,21249.0,01,201901
1137,13689.0,01,201901
1023,13391.0,01,201901
399,4549.0,01,201901
508,294.0,01,201901
966,5047.0,03,201901
439,133.0,03,201901
145,86.0,33,201901
1071,240.0,07,201901
94,189.0,07,201901
574,72.0,34,201901
125,27.0,07,201901
599,5.0,10,201901
819,3.0,36,201901
823,2.0,08,201901
544,2.0,08,201901
427,6658.0,02,201810
86,3341.0,05,201810
724,7922.0,01,201810
12,8373.0,01,201810
473,20878.0,01,201810
868,13446.0,01,201810
588,10620.0,03,201810
480,41633.0,04,201810
292,1374.0,01,201810
1175,4251.0,01,201810
796,84.0,33,201810
766,49.0,07,201810
473,423.0,07,201810
941,19.0,33,201810
1152,70.0,10,201810
718,24.0,35,201810
1074,13.0,35,201810
737,0.0,07,201810
339,2.0,09,201810
1152,3.0,36,201810
1053,6137.0,02,201811
1049,966.0,02,201811
1019,4104.0,05,201811
1180,3012.0,05,201811
1084,1213.0,01,201811
157,1486.0,01,201811
438,10707.0,03,201811
1177,24.0,35,201811
52,25.0,35,201811
70,69.0,34,201811
757,367.0,07,201811
492,425.0,07,201811
925,235.0,07,201811
831,391.0,07,201811
1166,84.0,07,201811
213,80.0,07,201811
644,88.0,33,201811
764,43.0,33,201811
174,15.0,33,201811
890,6.0,07,201811
493,2.0,09,201811
938,2.0,09,201811
892,0.0,A7,201811
971,5796.0,02,201902
1172,3458.0,05,201902
1173,168.0,05,201902
59,20746.0,04,201902
1052,441.0,04,201902
4,1820.0,01,201902
190,2226.0,01,201902
696,426.0,07,201902
180,75.0,02,201902
1181,3.0,36,201902
410,3.0,36,201902
90,65.0,10,201902
823,94.0,07,201902
2,31.0,08,201902
191,9.0,33,201902
642,24.0,07,201902
383,2.0,35,201902
104,2.0,09,201902
582,171.0,02,201802
88,2576.0,05,201802
175,2944.0,01,201802
353,9717.0,03,201802
949,412.0,07,201802
671,412.0,07,201802
1149,149.0,07,201802
681,47.0,01,201802
24,2.0,08,201802
319,11.0,32,201802
619,5.0,33,201802
63,1.0,36,201802
1034,0.0,A7,201802
1153,0.0,A7,201802
796,0.0,A7,201802
570,326.0,08,201903
483,335.0,08,201903
760,102.0,05,201903
493,21669.0,01,201903
181,13018.0,01,201903
612,11136.0,03,201903
653,571.0,01,201903
858,971.0,01,201903
411,82.0,07,201903
574,81.0,34,201903
1069,89.0,33,201903
270,70.0,10,201903
1062,70.0,10,201903
636,60.0,33,201903
777,64.0,07,201903
180,63.0,07,201903
865,13.0,32,201903
113,0.0,33,201903
1152,3.0,36,201903
212,3.0,36,201903
225,3.0,36,201903
61,3.0,36,201903
26,41772.0,04,201807
304,6321.0,02,201807
515,5489.0,02,201807
541,4288.0,02,201807
228,3529.0,05,201807
7,1716.0,05,201807
443,13157.0,01,201807
883,17255.0,01,201807
1083,4082.0,01,201807
866,686.0,03,201807
549,410.0,07,201807
327,299.0,07,201807
1000,68.0,34,201807
276,68.0,34,201807
607,15.0,33,201807
458,2.0,A7,201807
1148,0.0,07,201807
925,2.0,08,201807
575,6921.0,02,201909
1,4168.0,02,201909
55,1093.0,02,201909
302,4191.0,05,201909
130,1049.0,05,201909
344,255.0,05,201909
886,7346.0,01,201909
913,101.0,33,201909
244,8266.0,03,201909
956,58.0,33,201909
430,308.0,07,201909
278,30.0,33,201909
634,0.0,33,201909
830,0.0,04,201909
205,2.0,09,201909
327,7403.0,01,201808
823,8070.0,01,201808
273,5457.0,02,201808
915,3286.0,05,201808
7,1716.0,05,201808
955,424.0,05,201808
1034,2323.0,01,201808
984,1822.0,01,201808
156,5877.0,03,201808
1170,2432.0,03,201808
468,68.0,34,201808
52,421.0,07,201808
1171,133.0,07,201808
524,40.0,33,201808
192,5.0,33,201808
283,59.0,10,201808
872,21.0,10,201808
427,3.0,36,201808
1111,6.0,10,201808
452,0.0,A7,201808
492,5701.0,02,201910
167,2112.0,02,201910
813,8579.0,01,201910
1081,12198.0,03,201910
1027,3929.0,03,201910
155,101.0,33,201910
217,96.0,07,201910
928,5.0,07,201910
1181,19.0,33,201910
55,26.0,10,201910
212,4.0,36,201910
6,4.0,36,201910
83,3.0,19,201910
602,2.0,09,201910
528,2.0,09,201910
1133,1176.0,05,201803
1034,2319.0,01,201803
483,9801.0,03,201803
1095,9874.0,03,201803
938,3206.0,03,201803
694,5308.0,01,201803
438,49.0,33,201803
339,415.0,07,201803
613,415.0,07,201803
178,287.0,07,201803
844,62.0,34,201803
1081,19.0,35,201803
612,19.0,35,201803
554,6.0,33,201803
559,16.0,33,201803
142,4.0,10,201803
519,2.0,09,201803
329,22.0,08,201803
169,1.0,33,201803
982,1.0,36,201803
336,1.0,05,201803
632,5457.0,02,201811
94,2441.0,01,201811
323,25.0,35,201811
225,423.0,07,201811
367,94.0,07,201811
323,90.0,33,201811
375,31.0,33,201811
1169,8.0,32,201811
940,0.0,33,201811
1181,65.0,10,201811
654,76.0,07,201811
1062,10.0,18,201811
746,14.0,34,201811
796,0.0,A7,201811
649,3.0,19,201811
225,3.0,36,201811
225,2.0,09,201811
569,2.0,09,201811
613,2.0,09,201811
428,2.0,08,201811
603,1.0,35,201811
484,0.0,33,201811
1089,3955.0,05,202004
1122,9822.0,01,202004
366,13200.0,01,202004
964,922.0,01,202004
572,3448.0,01,202004
415,1282.0,01,202004
1005,40.0,33,202004
1052,106.0,33,202004
246,104.0,33,202004
888,27.0,33,202004
947,105.0,33,202004
745,316.0,07,202004
541,28.0,35,202004
596,119.0,07,202004
580,21.0,34,202004
464,31.0,10,202004
643,4.0,36,202004
1096,2.0,08,202004
392,12.0,35,202004
567,1.0,05,202004
831,4696.0,02,201902
62,306.0,08,201902
845,197.0,05,201902
600,315.0,01,201902
1078,10189.0,03,201902
753,10090.0,03,201902
602,26.0,35,201902
1051,11.0,35,201902
868,133.0,07,201902
982,22.0,01,201902
755,92.0,33,201902
247,90.0,33,201902
967,75.0,33,201902
1165,92.0,33,201902
1166,34.0,33,201902
982,2.0,35,201902
787,6.0,33,201902
887,3.0,A7,201902
1119,3.0,19,201902
509,2.0,09,201902
484,0.0,33,201902
1056,1.0,02,201902
175,2.0,08,201902
967,1198.0,02,201905
567,6441.0,02,201905
49,2617.0,05,201905
63,11542.0,03,201905
1129,2654.0,03,201905
15,8072.0,04,201905
1052,441.0,04,201905
653,571.0,01,201905
1024,62.0,33,201905
805,101.0,33,201905
971,12.0,07,201905
730,11.0,07,201905
968,29.0,35,201905
136,29.0,35,201905
967,82.0,33,201905
456,83.0,08,201905
642,25.0,07,201905
112,43.0,05,201905
1085,4.0,A7,201905
878,4.0,A7,201905
180,63.0,07,201905
588,4.0,36,201905
205,2.0,09,201905
1101,2.0,07,201905
839,5.0,33,201905
353,6402.0,02,201904
938,4373.0,05,201904
639,3626.0,05,201904
379,3618.0,05,201904
838,2998.0,05,201904
1166,7954.0,01,201904
905,6801.0,01,201904
263,10112.0,01,201904
170,2089.0,01,201904
152,3348.0,03,201904
458,277.0,04,201904
1170,248.0,07,201904
560,11.0,32,201904
337,83.0,33,201904
190,25.0,33,201904
1186,70.0,33,201904
968,70.0,10,201904
567,70.0,10,201904
409,39.0,10,201904
892,3.0,36,201904
510,9.0,03,201904
602,5.0,34,201904
491,2.0,07,201904
205,1.0,13,201904
850,123.0,08,202005
1182,12314.0,01,202005
595,8287.0,03,202005
276,111.0,34,202005
42,443.0,07,202005
801,174.0,05,202005
1180,122.0,03,202005
965,1.0,33,202005
363,1.0,33,202005
369,22.0,35,202005
1152,29.0,35,202005
928,0.0,08,202005
637,11.0,35,202005
236,2.0,09,202005
1037,2414.0,02,201911
1143,544.0,02,201911
810,3788.0,05,201911
658,278.0,05,201911
228,23507.0,01,201911
8,23350.0,01,201911
349,11224.0,03,201911
745,310.0,07,201911
934,126.0,07,201911
441,353.0,08,201911
1076,22.0,01,201911
730,22.0,33,201911
432,25.0,33,201911
323,5.0,36,201911
575,12.0,A7,201911
553,2.0,09,201911
62,334.0,08,201909
437,300.0,08,201909
208,382.0,05,201909
679,5334.0,01,201909
175,4736.0,01,201909
43,714.0,01,201909
1170,4057.0,03,201909
982,741.0,03,201909
846,101.0,33,201909
1102,100.0,33,201909
612,434.0,07,201909
333,27.0,07,201909
13,6.0,07,201909
156,18.0,33,201909
427,3.0,19,201909
94,29.0,35,201909
1137,0.0,02,201909
1053,6085.0,02,201808
1111,7325.0,01,201808
341,7134.0,01,201808
1080,1003.0,01,201808
307,9690.0,03,201808
1,10472.0,03,201808
642,10472.0,03,201808
582,421.0,07,201808
561,421.0,07,201808
352,156.0,07,201808
299,6.0,07,201808
602,69.0,10,201808
1081,17.0,32,201808
544,2.0,08,201808
334,23.0,35,201808
697,9.0,10,201808
430,5.0,02,201808
1138,32.0,34,201808
580,14.0,34,201808
968,3.0,36,201808
452,2.0,09,201808
323,2.0,09,201808
737,2.0,09,201808
295,0.0,36,201808
483,375.0,08,202001
162,2168.0,01,202001
492,12507.0,03,202001
382,4467.0,03,202001
806,441.0,07,202001
198,69.0,07,202001
868,138.0,07,202001
580,21.0,34,202001
1160,58.0,10,202001
103,7.0,07,202001
460,0.0,A7,202001
968,42800.0,04,201901
371,20800.0,01,201901
1020,10819.0,03,201901
554,4082.0,01,201901
447,64.0,33,201901
761,425.0,07,201901
42,70.0,10,201901
1052,25.0,35,201901
493,3.0,36,201901
646,3.0,36,201901
591,5.0,10,201901
642,6133.0,02,201810
671,6658.0,02,201810
1051,3375.0,05,201810
286,12627.0,01,201810
1116,20888.0,01,201810
1039,191.0,03,201810
1045,88.0,07,201810
968,70.0,10,201810
688,65.0,10,201810
1095,65.0,10,201810
804,49.0,33,201810
933,43.0,33,201810
269,84.0,33,201810
329,0.0,36,201810
156,14.0,35,201810
1072,0.0,07,201810
1047,6.0,33,201810
274,0.0,08,201810
361,3.0,19,201810
427,2.0,09,201810
965,0.0,33,201810
130,636.0,05,201809
927,19210.0,01,201809
993,9922.0,01,201809
313,5931.0,01,201809
26,42109.0,04,201809
836,2457.0,01,201809
913,83.0,33,201809
652,27.0,07,201809
145,285.0,07,201809
894,102.0,07,201809
276,24.0,35,201809
45,1.0,13,201809
90,2.0,09,201809
395,2.0,09,201809
587,0.0,A7,201809
55,1.0,35,201809
925,2.0,08,201809
923,1640.0,02,201904
849,342.0,08,201904
24,19157.0,01,201904
974,1763.0,01,201904
18,10300.0,01,201904
537,2405.0,01,201904
484,7148.0,03,201904
438,11356.0,03,201904
165,99.0,33,201904
878,68.0,33,201904
880,333.0,07,201904
205,70.0,10,201904
129,29.0,35,201904
390,8.0,07,201904
481,2.0,35,201904
892,0.0,04,201904
1164,2.0,08,201904
162,2.0,07,201904
1003,5738.0,02,201911
393,1307.0,05,201911
935,23593.0,01,201911
369,18898.0,01,201911
1125,12022.0,01,201911
765,7938.0,01,201911
187,29.0,35,201911
136,29.0,35,201911
436,31.0,33,201911
644,44.0,10,201911
1027,23.0,33,201911
638,24.0,04,201911
958,1.0,36,201911
634,0.0,33,201911
274,0.0,33,201911
1101,4.0,07,201911
360,0.0,07,201911
561,2.0,09,201911
623,2.0,35,202001
1013,2.0,35,202001
152,374.0,07,202001
456,89.0,08,202001
993,38.0,08,202001
943,53.0,07,202001
572,11.0,07,202001
957,70.0,10,202001
319,27.0,32,202001
48,5.0,10,202001
101,49.0,10,202001
590,13.0,32,202001
1177,4.0,36,202001
303,4.0,36,202001
919,2.0,09,202001
427,378.0,08,202004
1193,1942.0,05,202004
4,1906.0,01,202004
506,28.0,35,202004
574,111.0,34,202004
